Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_damage,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,FAR_Description,Schedule,Purpose_of_flight,Air_carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_phase_of_flight,Report_Status,Publication_Date,Total_Injuries
20001214X37718,Accident,ATL85MA286,1985-09-29,"JENKINSBURG, GA",United States,,,,WEST WIND SPORT PARACHUTE,Fatal,Destroyed,Airplane,N551CC,Cessna,208,No,1.0,Turbo Prop,Part 91: General Aviation,,Skydiving,,17,0,0,0,VMC,Takeoff,Probable Cause,17-10-2016,17
20001213X33054,Accident,FTW86FA050,1986-03-29,"SEAGOVILLE, TX",United States,,,59F,SEAGOVILLE,Fatal,Destroyed,Airplane,N3381G,Lockheed,L-402-2 (LASA-60),No,1.0,Reciprocating,Part 91: General Aviation,,Skydiving,,3,2,0,0,VMC,Takeoff,Probable Cause,17-10-2016,5
20001213X33306,Accident,LAX86LA166,1986-04-08,"MESA, AZ",United States,,,FFZ,FALCON FIELD,Fatal,Substantial,Airplane,N3872E,Piper,PA-23-250,No,2.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,2,VMC,Landing,Probable Cause,03-08-2011,0
20001213X33276,Accident,FTW86FA066B,1986-04-15,"HANKAMER, TX",United States,,,,,Fatal,Destroyed,Airplane,N8696H,Grumman,G164A,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,2,0,0,0,VMC,Descent,Probable Cause,08-04-2013,2
20001213X33276,Accident,FTW86FA066A,1986-04-15,"HANKAMER, TX",United States,,,,,Fatal,Destroyed,Airplane,N8751H,Grumman,G164A,No,1.0,Reciprocating,Part 137: Agricultural,UNK,Aerial Application,,2,0,0,0,VMC,Standing,Probable Cause,08-04-2013,2
20001213X33697,Accident,SEA86FA121B,1986-05-19,"MEAD, WA",United States,,,,,Fatal,Destroyed,Airplane,N8267Q,Cessna,TU206F,No,1.0,Reciprocating,Part 91: General Aviation,,Skydiving,,2,0,1,0,VMC,Descent,Probable Cause,17-10-2016,3
20001213X33697,Accident,SEA86FA121A,1986-05-19,"MEAD, WA",United States,,,,,Fatal,Destroyed,Airplane,N6161M,Cessna,152,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,2,0,1,0,VMC,Maneuvering,Probable Cause,17-10-2016,3
20001213X33489,Incident,BFO86IA031B,1986-05-30,"CALVERTON, NY",United States,,,,,Incident,Unknown,Airplane,USN,Grumman,F-14A,No,2.0,Turbo Jet,Part 91: General Aviation,,Public Aircraft,,0,0,0,69,VMC,Descent,Probable Cause,09-10-2018,0
20001213X33489,Incident,BFO86IA031A,1986-05-30,"CALVERTON, NY",United States,,,,,Incident,Unknown,Airplane,N1310T,Douglas,DC-9-31,No,2.0,Turbo Fan,Part 121: Air Carrier,SCHD,Unknown,,0,0,0,69,VMC,Descent,Probable Cause,09-10-2018,0
20001213X30060,Accident,DCA87MA018B,1987-01-15,"KEARNS, UT",United States,,,,,Fatal,Destroyed,Airplane,N6485U,Mooney,M-20C,No,1.0,Reciprocating,Part 91: General Aviation,,Instructional,,10,0,0,0,VMC,Maneuvering,Probable Cause,10-07-2019,10
20001213X30060,Accident,DCA87MA018A,1987-01-15,"KEARNS, UT",United States,,,,,Fatal,Destroyed,Airplane,N163SW,Swearingen,SA-226TC,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,SCHD,Unknown,Sky West Airlines Inc. (dba: Sky West Airlines/western Expr),10,0,0,0,VMC,Maneuvering,Probable Cause,10-07-2019,10
20001213X30244,Accident,FTW87RA066,1987-02-14,"DURANGO, Mexico",Mexico,,,,,Fatal,Unknown,Airplane,N712PC,Boeing,707-323B,No,4.0,Turbo Jet,Part 121: Air Carrier,NSCH,Unknown,,1,0,3,131,UNK,Unknown,Foreign,07-02-1995,4
20001213X30820,Accident,SEA87LA072,1987-04-02,"JEAN, NV",United States,,,OL7,JEAN,Fatal,Substantial,Airplane,N5916H,Piper,PA 16,No,,,Part 91: General Aviation,,Personal,,0,0,0,1,VMC,Landing,Probable Cause,10-04-2014,0
20001213X25152,Accident,NYC88LA082,1988-02-16,"BRIDGEPORT, CT",United States,,,BDR,SIKORSKY,Fatal,Destroyed,Airplane,N26834,Gulfstream,AA-5B,No,1.0,Reciprocating,Part 91: General Aviation,,Personal,,0,0,0,3,VMC,Landing,Probable Cause,04-06-2013,0
20001213X25245,Accident,DCA88WA048,1988-03-27,"OXFORD, United Kingdom",United Kingdom,,,,,Fatal,Destroyed,Airplane,N91590,Piper,PA-38,No,0.0,Unknown,"Non-U.S., Non-Commercial",UNK,Instructional,,1,0,0,0,UNK,Unknown,Foreign,,1
20001213X25425,Accident,CHI88FA091,1988-04-05,"ST. PAUL, MN",United States,,,,,Fatal,Substantial,Airplane,N181LL,Beech,B90,No,2.0,Turbo Prop,Part 135: Air Taxi & Commuter,NSCH,Unknown,,0,0,0,5,IMC,Cruise,Probable Cause,02-05-2011,0
20001213X25535,Accident,MIA88WA161,1988-04-16,"San Jose, Costa Rica",Costa Rica,,,,,Fatal,Unknown,Airplane,N510EA,Boeing,757-225,No,2.0,Unknown,Part 121: Air Carrier,SCHD,,,0,1,0,192,UNK,Unknown,Foreign,06-02-1995,1
